#TYPE Selected.System.Management.Automation.PSCustomObject
"Name";"DisplayName";"ServiceName"
"pla";"Performance Logs & Alerts";"pla"
"PlugPlay";"Plug and Play";"PlugPlay"
"PolicyAgent";"IPsec Policy Agent";"PolicyAgent"
"Power";"Power";"Power"
"PrintNotify";"Printer Extensions and Notifications";"PrintNotify"
"ProfSvc";"User Profile Service";"ProfSvc"
"PushToInstall";"Windows PushToInstall Service";"PushToInstall"
"QWAVE";"Quality Windows Audio Video Experience";"QWAVE"
"RasAuto";"Remote Access Auto Connection Manager";"RasAuto"
"RasMan";"Remote Access Connection Manager";"RasMan"
"RemoteAccess";"Routing and Remote Access";"RemoteAccess"
"RemoteRegistry";"Remote Registry";"RemoteRegistry"
"RmSvc";"Radio Management Service";"RmSvc"
"RpcEptMapper";"RPC Endpoint Mapper";"RpcEptMapper"
"RpcLocator";"Remote Procedure Call (RPC) Locator";"RpcLocator"
"RpcSs";"Remote Procedure Call (RPC)";"RpcSs"
"RSoPProv";"Resultant Set of Policy Provider";"RSoPProv"
"sacsvr";"Special Administration Console Helper";"sacsvr"
"SamSs";"Security Accounts Manager";"SamSs"
"SCardSvr";"Smart Card";"SCardSvr"
"ScDeviceEnum";"Smart Card Device Enumeration Service";"ScDeviceEnum"
"Schedule";"Task Scheduler";"Schedule"
"SCPolicySvc";"Smart Card Removal Policy";"SCPolicySvc"
"seclogon";"Secondary Logon";"seclogon"
"SecurityHealthService";"Windows Security Service";"SecurityHealthService"
"SEMgrSvc";"Payments and NFC/SE Manager";"SEMgrSvc"
"SENS";"System Event Notification Service";"SENS"
"Sense";"Windows Defender Advanced Threat Protection Service";"Sense"
"SensorDataService";"Sensor Data Service";"SensorDataService"
"SensorService";"Sensor Service";"SensorService"
"SensrSvc";"Sensor Monitoring Service";"SensrSvc"
"SessionEnv";"Remote Desktop Configuration";"SessionEnv"
"SgrmBroker";"System Guard Runtime Monitor Broker";"SgrmBroker"
"SharedAccess";"Internet Connection Sharing (ICS)";"SharedAccess"
"ShellHWDetection";"Shell Hardware Detection";"ShellHWDetection"
"shpamsvc";"Shared PC Account Manager";"shpamsvc"
"smphost";"Microsoft Storage Spaces SMP";"smphost"
"smstsmgr";"ConfigMgr Task Sequence Agent";"smstsmgr"
"SNMPTRAP";"SNMP Trap";"SNMPTRAP"
"Spooler";"Print Spooler";"Spooler"
"sppsvc";"Software Protection";"sppsvc"
"SSDPSRV";"SSDP Discovery";"SSDPSRV"
"ssh-agent";"OpenSSH Authentication Agent";"ssh-agent"
"SstpSvc";"Secure Socket Tunneling Protocol Service";"SstpSvc"
"StateRepository";"State Repository Service";"StateRepository"
"stisvc";"Windows Image Acquisition (WIA)";"stisvc"
"StorSvc";"Storage Service";"StorSvc"
"svsvc";"Spot Verifier";"svsvc"
"swprv";"Microsoft Software Shadow Copy Provider";"swprv"
"SysMain";"Superfetch";"SysMain"
"SysMain";"SysMain";"SysMain"
"SystemEventsBroker";"System Events Broker";"SystemEventsBroker"
"TabletInputService";"Touch Keyboard and Handwriting Panel Service";"TabletInputService"
"tapisrv";"Telephony";"tapisrv"
"TermService";"Remote Desktop Services";"TermService"
"Themes";"Themes";"Themes"
"THREADORDER";"Thread Ordering Server";"THREADORDER"
"TieringEngineService";"Storage Tiers Management";"TieringEngineService"
"tiledatamodelsvc";"Tile Data model server";"tiledatamodelsvc"
"TimeBrokerSvc";"Time Broker";"TimeBrokerSvc"
"TokenBroker";"Web Account Manager";"TokenBroker"
"TrkWks";"Distributed Link Tracking Client";"TrkWks"
"TrustedInstaller";"Windows Modules Installer";"TrustedInstaller"
"tzautoupdate";"Auto Time Zone Updater";"tzautoupdate"
